State/UTs,Deaths
Andaman and Nicobar,129
Andhra Pradesh,13671
Arunachal Pradesh,252
Assam,5513
Bihar,9649
Chandigarh,811
Chhattisgarh,13549
Dadra and Nagar Haveli and Daman and Diu,4
Delhi,25073
Goa,3177
Gujarat,10078
Haryana,9661
Himachal Pradesh,3557
Jammu and Kashmir,4399
Jharkhand,5132
Karnataka,37039
Kerala,18870
Ladakh,207
Lakshadweep,51
Madhya Pradesh,10515
Maharashtra,135255
Manipur,1722
Meghalaya,1240
Mizoram,185
Nagaland,607
Odisha,7021
Puducherry,1805
Punjab,16345
Rajasthan,8954
Sikkim,363
Tamil Nadu,34579
Telengana,3847
Tripura,782
Uttar Pradesh,22786
Uttarakhand,7373
West Bengal,18318
